Player,Team,AGE,GP,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率
Ben Gordon,ORL,32,56,17,39,14.1,6.2,5.3,43.7,1.7,36.1,1.2,83.6,0.1,1.0,1.1,0.9,1.0,0.3,0.0,1.1,8.7,0,0,-2.4,2015,0,False,0.3
Shane Larkin,NYK,22,76,16,60,24.5,6.2,5.7,43.3,1.5,30.2,1.0,78.2,0.4,1.9,2.3,3.0,1.1,1.2,0.1,2.0,16.4,1,0,-5.2,2015,0,False,0.21
Chris Copeland,IND,31,50,19,31,16.5,6.2,6.2,36.1,3.3,31.1,0.9,73.3,0.5,1.8,2.2,1.0,1.2,0.2,0.2,1.6,10.5,1,0,-0.6,2015,0,False,0.38
Ish Smith,PHI,26,55,24,31,15.1,6.1,6.7,39.0,1.1,30.0,1.0,59.6,0.3,1.5,1.8,3.3,1.4,0.7,0.1,0.9,14.1,0,0,-1.9,2015,0,False,0.44
T.J. Warren,PHX,21,40,17,23,15.4,6.1,5.4,52.8,0.5,23.8,0.5,73.7,1.0,1.1,2.1,0.6,0.7,0.5,0.2,1.3,11.0,0,0,-2.4,2015,0,False,0.42
Jason Thompson,SAC,28,81,29,52,24.6,6.1,5.3,47.0,0.0,0.0,1.8,62.2,1.7,4.8,6.5,1.0,1.0,0.4,0.7,3.0,17.8,7,0,-2.3,2015,0,False,0.36
Tony Snell,CHI,23,72,43,29,19.6,6.0,5.2,42.9,2.7,37.1,0.8,80.0,0.4,2.0,2.4,0.9,0.7,0.4,0.2,1.2,11.4,1,0,0.7,2015,0,False,0.6
Tarik Black,LAL,23,63,25,38,19.0,6.0,4.3,57.5,0.0,0.0,1.9,55.1,2.3,3.6,5.8,0.7,0.8,0.3,0.4,2.5,15.3,5,0,-1.3,2015,0,False,0.4
Otto Porter Jr.,WAS,22,74,41,33,19.4,6.0,5.3,45.0,1.4,33.7,1.1,73.4,0.9,2.0,3.0,0.9,0.7,0.6,0.4,1.3,13.2,0,0,-0.5,2015,0,False,0.55
Kyle Singler,OKC,27,80,36,44,21.8,6.0,5.6,38.6,3.0,39.8,0.7,76.9,0.4,2.0,2.4,1.1,0.7,0.6,0.3,1.9,12.4,0,0,-1.2,2015,0,False,0.45
Jonas Jerebko,BOS,28,75,37,38,16.4,6.0,5.1,44.6,1.9,38.6,0.9,84.8,1.2,2.5,3.8,0.9,0.6,0.6,0.2,1.8,13.9,1,0,1.9,2015,0,False,0.49
Meyers Leonard,POR,23,55,32,23,15.4,5.9,4.5,51.0,2.0,42.0,0.6,93.8,0.8,3.7,4.5,0.6,0.7,0.2,0.3,2.1,12.9,3,0,0.3,2015,0,False,0.58
Tyler Johnson,MIA,23,32,15,17,18.8,5.9,5.2,41.9,1.5,37.5,1.5,68.1,0.4,2.1,2.5,1.3,0.9,1.0,0.3,1.3,13.9,1,0,-2.0,2015,0,False,0.47
Shaun Livingston,GSW,29,78,64,14,18.8,5.9,5.1,50.0,0.0,0.0,1.2,71.4,0.6,1.8,2.3,3.3,1.3,0.6,0.3,1.4,15.1,1,0,0.7,2015,0,False,0.82
Caron Butler,DET,35,78,30,48,20.8,5.9,5.1,40.7,2.8,37.9,0.8,90.2,0.3,2.2,2.5,1.0,0.6,0.6,0.1,1.5,11.6,0,0,-0.3,2015,0,False,0.38
Willie Green,ORL,33,52,15,37,18.3,5.9,5.9,38.6,2.3,34.7,0.7,82.4,0.3,1.3,1.5,1.3,0.9,0.5,0.1,1.6,10.5,0,0,-1.6,2015,0,False,0.29
Quincy Acy,NYK,24,68,12,56,18.9,5.9,4.9,45.9,0.9,30.0,1.4,78.4,1.2,3.3,4.4,1.0,0.9,0.4,0.3,2.2,13.9,1,0,-3.1,2015,0,False,0.18
Richard Jefferson,DAL,35,74,46,28,16.8,5.8,4.4,44.4,2.1,42.6,1.5,68.4,0.3,2.1,2.5,0.8,0.7,0.4,0.1,1.6,11.1,2,0,0.1,2015,0,False,0.62
Spencer Hawes,LAC,27,73,52,21,17.5,5.8,5.7,39.3,2.4,31.3,0.9,64.7,0.4,3.1,3.5,1.2,0.8,0.3,0.7,2.4,14.2,0,0,-1.3,2015,0,False,0.71
Vince Carter,MEM,38,66,45,21,16.5,5.8,6.2,33.3,3.5,29.7,0.9,78.9,0.4,1.6,2.0,1.2,0.7,0.7,0.2,1.5,12.0,0,0,0.5,2015,2,False,0.68
Kyle O'Quinn,ORL,25,51,15,36,16.2,5.8,4.7,49.2,0.8,27.9,1.1,77.2,0.9,3.0,3.9,1.2,1.1,0.6,0.8,2.2,15.2,3,0,-2.4,2015,0,False,0.29
