,消費者物價基本分類指數,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,單位：民國105年=100,,
統計期,總指數,年增率(%),一.食物類,年增率(%),二.衣著類,年增率(%),三.居住類,年增率(%),四.交通及通訊類,年增率(%),五.醫藥保健類,年增率(%),六.教養娛樂類,年增率(%),七.雜項類,年增率(%)
110年7月,104.29,1.91,105.37,2.45,100.91,2.04,103.87,0.52,105.5,6.92,104.48,-0.17,101.36,0.83,108.71,0.15
110年8月,104.9,2.34,107.41,3.83,99.32,2.04,104.67,1.23,105.3,6.47,104.98,0.15,101.8,1.1,108.55,-0.11
110年9月,105.06,2.6,107.69,3.53,98.2,1.6,104.73,1.29,105.42,7.2,104.95,0.21,102.71,2.84,108.5,-0.1
110年10月,105.37,2.55,108.01,3.96,107.51,0.88,103.87,1.46,106.26,7.23,104.62,0.15,102.11,1.69,107.92,-0.26
110年11月,105.62,2.85,108.53,4.7,106.11,1.46,104.07,1.59,107.16,7.24,104.89,0.29,101.63,1.57,108.43,0.2
110年12月,105.41,2.63,108.11,4.23,105.09,1.52,104.13,1.54,105.62,5.1,105.26,0.72,101.99,2.03,108.99,0.86
111年1月,106.01,2.84,108.29,3.73,102.42,1.3,104.44,1.73,107.46,5.26,105.05,0.39,102.02,2.06,111.46,2.76
111年2月,106.02,2.36,108.83,5.29,101.03,2.7,104.53,1.48,107.96,4.98,105.21,0.63,103.02,0.58,109.73,-1.07
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
註解：,,,,,,,,,,,,,,,,
由於受查者延誤或更正報價，最近3個月資料均可能修正。,,,,,,,,,,,,,,,,
