年月,港口別,總計,進口貨,出口貨,國內貨
200502,安平港,260784,214864,2197,43723
200503,國際商港,23481416,14746157,4247011,4488248
200503,高雄港,13218971,9111352,2765393,1342226
200503,臺中港,4222626,3217304,489491,515831
200503,基隆港,3165302,1872814,652317,640171
200503,花蓮港,1703273,139506,200449,1363318
200503,臺北港,514502,37255,27,477220
200503,安平港,423107,367926,4584,50597
200503,蘇澳港,233635,0,134750,98885
200504,國際商港,22747901,14354562,4001113,4392226
200504,高雄港,11931546,8253930,2564352,1113264
200504,臺中港,3730216,2944864,393567,391785
200504,基隆港,3164008,1890715,641589,631704
200504,花蓮港,1897165,252159,199868,1445138
200504,蘇澳港,907812,583736,198723,125353
200504,臺北港,669708,54319,226,615163
200504,安平港,447446,374839,2788,69819
200505,國際商港,23922944,14835357,4217934,4869653
200505,高雄港,12759499,8728183,2768781,1262535
200505,臺中港,4422758,3556054,447883,418821
200505,基隆港,3105697,1688911,684902,731884
200505,花蓮港,1976563,203352,193547,1579664
200505,臺北港,790340,73600,220,716520
200505,安平港,489903,429048,2367,58488
200505,蘇澳港,378184,156209,120234,101741
200506,國際商港,23315890,14296682,4463994,4555214
200506,高雄港,12248572,8064524,3080546,1103502
200506,臺中港,4287561,3428040,471943,387578
200506,基隆港,3540493,2143205,626794,770494
200506,花蓮港,1868128,244466,144973,1478689
200506,臺北港,719466,61285,41,658140
200506,安平港,402306,355162,3274,43870
200506,蘇澳港,249364,0,136423,112941
200507,國際商港,21591765,13247526,4041203,4303036
200507,高雄港,11385580,7666092,2629408,1090080
200507,臺中港,3941354,3081894,467086,392374
200507,基隆港,2968867,1724439,601607,642821
200507,花蓮港,1694815,137344,146355,1411116
200507,臺北港,688885,110303,325,578257
200507,蘇澳港,556954,229006,193675,134273
200507,安平港,355310,298448,2747,54115
200508,國際商港,20781525,12403873,3820214,4557438
200508,高雄港,9973394,6268663,2410121,1294610
200508,臺中港,4123423,3378276,440099,305048
200508,基隆港,3270389,1815856,606672,847861
200508,花蓮港,1842002,265809,169561,1406632
200508,臺北港,713904,174682,708,538514
200508,蘇澳港,666167,367066,190037,109064
200508,安平港,192246,133521,3016,55709
200509,國際商港,21529687,12983739,3827322,4718626
200509,高雄港,10773872,6948461,2571564,1253847
200509,臺中港,3979552,3131916,417348,430288
200509,基隆港,3428138,1966426,605804,855908
200509,花蓮港,1625696,84826,94700,1446170
200509,臺北港,867631,336937,130,530564
200509,蘇澳港,686026,422321,135028,128677
200509,安平港,168772,92852,2748,73172
200510,國際商港,21904141,13266088,4116110,4521943
200510,高雄港,10808959,6804182,2627233,1377544
200510,臺中港,4705781,3858468,433703,413610
200510,基隆港,3298442,1797993,676979,823470
